正反同义标签,格式标签,否定式,肯定式
1,好不a,虽然仍是大白天，太阳暖暖地照着大地，凌云飞却觉得四周阴森森的，好不可怕，心中想道：“那蛇王也不知吃了多少人了，这方的人都怕成这个样，没有一个人敢进这一带。,虽然仍是大白天，太阳暖暖地照着大地，凌云飞却觉得四周阴森森的，好可怕，心中想道：“那蛇王也不知吃了多少人了，这方的人都怕成这个样，没有一个人敢进这一带。
0,不要太a,　“你不要太难过，他是因为病，心里不痛快……”,　“你太难过，他是因为病，心里不痛快……”
0,不要太a,男女职员若不穿公司制服，那么只要简单清洁即可，式样不要太老旧。,男女职员若不穿公司制服，那么只要简单清洁即可，式样太老旧。
1,好不a,这日――――＂水阁＂内充满银铃般的清脆笑语，好不热闹。“大姊，我们来了这么久，你还没告诉我们究竟有什么大事！,这日――――＂水阁＂内充满银铃般的清脆笑语，好热闹。“大姊，我们来了这么久，你还没告诉我们究竟有什么大事！
1,好不a,”她瞠目结舌，好不惊讶。就连她自己也仅在一张模糊照片中看过母亲的长相。,”她瞠目结舌，好惊讶。就连她自己也仅在一张模糊照片中看过母亲的长相。
0,几乎没,他们以征服者身份进行统治，对中国的制度或者中国人的生活方式几乎没作什么让步。,他们以征服者身份进行统治，对中国的制度或者中国人的生活方式几乎作什么让步。
1,好不a,〈畸情小剧场〉编剧：奸子是也本日公演剧名：断袖问情（变调篇）某日清晨，在王公公还未来请皇上起床时，皇上刘欣便先行醒来，转身想起床时，赫然发现自己的袖子被身旁熟睡的爱卿董贤两手抓住，并咬住不放，衣角上还沾满了“天衣神水”，看来好不恶心。刘欣不禁暗叫：“天啊！,〈畸情小剧场〉编剧：奸子是也本日公演剧名：断袖问情（变调篇）某日清晨，在王公公还未来请皇上起床时，皇上刘欣便先行醒来，转身想起床时，赫然发现自己的袖子被身旁熟睡的爱卿董贤两手抓住，并咬住不放，衣角上还沾满了“天衣神水”，看来好恶心。刘欣不禁暗叫：“天啊！
0,几乎没,哇，你制造的混乱还真棒！我几乎没看过这么大的奶水坑。,哇，你制造的混乱还真棒！我几乎看过这么大的奶水坑。
1,好不a,谈话间，刘增耀从左边衣兜里掏出“药葫芦”，倒出５粒速效救心丸，塞进嘴里，动作好不娴熟。我晓得，在他右边衣袋里还装着消心痛和山海丹，这是工人告诉我的。,谈话间，刘增耀从左边衣兜里掏出“药葫芦”，倒出５粒速效救心丸，塞进嘴里，动作好娴熟。我晓得，在他右边衣袋里还装着消心痛和山海丹，这是工人告诉我的。
1,好不a,大家你一言我一语的，好不热闹。“我不答应。,大家你一言我一语的，好热闹。“我不答应。
0,几乎没,“陪考官”们几乎没发问，只有那位“主考官”翻着我的简历表问了我几句话：“结婚了吗？,“陪考官”们几乎发问，只有那位“主考官”翻着我的简历表问了我几句话：“结婚了吗？
1,好不a,两姊妹笑得好不天真，“请问你是苏姊姊吗？,两姊妹笑得好天真，“请问你是苏姊姊吗？
1,好不a,四海讲得好不兴奋，忽闻鸡啼。,四海讲得好兴奋，忽闻鸡啼。
0,不要太a,如果不想变成黄脸婆，我劝大家，生活中的很多问题都要顺其自然，不要太强求，说白了就是仨字“想开点”。,如果不想变成黄脸婆，我劝大家，生活中的很多问题都要顺其自然，太强求，说白了就是仨字“想开点”。
1,好不a,“温婉的性情、甜美的笑容，她蕙质兰心得可说是人间极品，完美到叫人捶胸顿足，但是――一哭长城动，二哭山河裂，三哭惊天地，她的哭功无人能及，随时随地像个受尽委屈的小媳妇儿，只要一点点小触霉，她都有本事哭得让人以为一家老小死光光，好不悲惨。而她是三人之中，气质最“大家闺秀”、最“正常”的女人。,“温婉的性情、甜美的笑容，她蕙质兰心得可说是人间极品，完美到叫人捶胸顿足，但是――一哭长城动，二哭山河裂，三哭惊天地，她的哭功无人能及，随时随地像个受尽委屈的小媳妇儿，只要一点点小触霉，她都有本事哭得让人以为一家老小死光光，好悲惨。而她是三人之中，气质最“大家闺秀”、最“正常”的女人。
1,好不a,每逢节假日，家里都会开一次“家庭音乐会”，好不温馨。尤其是王宝枝，还花钱买二胡送给村里的老人，每周两个晚上，叫上村里的老人在自家花园唱芗剧。,每逢节假日，家里都会开一次“家庭音乐会”，好温馨。尤其是王宝枝，还花钱买二胡送给村里的老人，每周两个晚上，叫上村里的老人在自家花园唱芗剧。
0,几乎没,在情节的发展上，大副几乎没起任何作用，但他与船长的怀疑精神形成了对比,在情节的发展上，大副几乎起任何作用，但他与船长的怀疑精神形成了对比
1,差点没,小姨一听那话，眼睛立刻红了，差点没落下泪珠子来。,小姨一听那话，眼睛立刻红了，差点落下泪珠子来。
0,几乎没,往年每到暑假，“求租床位”的小广告早贴到各高校的宿舍区，但今年这样的小广告却几乎没出现过，因为非典过后不少高校明令学生禁止把床位出租。,往年每到暑假，“求租床位”的小广告早贴到各高校的宿舍区，但今年这样的小广告却几乎出现过，因为非典过后不少高校明令学生禁止把床位出租。
1,几乎没,”编剧赶到来，才听了任澄几句话，几乎没想上吊！,”编剧赶到来，才听了任澄几句话，几乎想上吊！
1,好不a,夜叉族──平静的村落里有几个小孩子正在玩耍，那笑声清清脆脆好不悦耳；但声音不知道为什么突然停了，村里的人人们还没来得及探出头来，孩子们已经惊叫起来！,夜叉族──平静的村落里有几个小孩子正在玩耍，那笑声清清脆脆好悦耳；但声音不知道为什么突然停了，村里的人人们还没来得及探出头来，孩子们已经惊叫起来！
1,好不a,适意忍痛地朝他摇摇首，好不痛心地逼自己不要被他所影响，努力的抵抗着那盘鲜嫩欲滴的美味烧肉所带给她的强大吸引力。,适意忍痛地朝他摇摇首，好痛心地逼自己不要被他所影响，努力的抵抗着那盘鲜嫩欲滴的美味烧肉所带给她的强大吸引力。
1,差点没,这件事在她心里所引起的，只是一种怜悯之情；这个顽皮的孩子只是为了讨她的欢心才想到上菜园子里去偷东西，而因为这个他差一点没把船误了。,这件事在她心里所引起的，只是一种怜悯之情；这个顽皮的孩子只是为了讨她的欢心才想到上菜园子里去偷东西，而因为这个他差一点把船误了。
0,难免不,有时我们认为可以了，他认为不行，则来一句陕西话：『别往过混！』他边记录边想点子，难免不理想,有时我们认为可以了，他认为不行，则来一句陕西话：『别往过混！』他边记录边想点子，难免理想
0,几乎没,学校规定上午7点半上班，下午4点半下班，可她几乎没能准时下班过。,学校规定上午7点半上班，下午4点半下班，可她几乎能准时下班过。
0,不要太a,虽然我觉得在大庭广众之下做出如此事情有失大雅，但我也会憋足全身气力回敬他一次，以此来证明我的存在，告诫隔壁不要太放肆，做人还是收敛一些的好，可我每次都是力不从心，无法做到惟妙惟肖，隔壁依旧在气焰嚣张地做着坏事，看着别人在我的面前兴风作浪、胡作非为而自己却束手无措，这就是人体功能造就的巨大悲哀，人比人气死人呀一个人在完成他的大便工作后，会收拾一下残局，用水将它们冲掉，它们被水冲走后也有两种不同的声音，一种是“扑嗵”的声音，仿佛一块巨石投入水中，这种声音的主人往往体魄健壮、身材魁,虽然我觉得在大庭广众之下做出如此事情有失大雅，但我也会憋足全身气力回敬他一次，以此来证明我的存在，告诫隔壁太放肆，做人还是收敛一些的好，可我每次都是力不从心，无法做到惟妙惟肖，隔壁依旧在气焰嚣张地做着坏事，看着别人在我的面前兴风作浪、胡作非为而自己却束手无措，这就是人体功能造就的巨大悲哀，人比人气死人呀一个人在完成他的大便工作后，会收拾一下残局，用水将它们冲掉，它们被水冲走后也有两种不同的声音，一种是“扑嗵”的声音，仿佛一块巨石投入水中，这种声音的主人往往体魄健壮、身材魁
1,就差没,」就差没追问一句：这跟「时局」何关？,」就差追问一句：这跟「时局」何关？
0,几乎没,”他说已经吃好了，我使劲摇头说，你几乎没吃东西嘛，哪能就吃好了？,”他说已经吃好了，我使劲摇头说，你几乎吃东西嘛，哪能就吃好了？
1,好不a,如今只要委托“猎头”，精兵强将任挑选，好不舒服！,如今只要委托“猎头”，精兵强将任挑选，好舒服！
1,差点没,她小嘴撇了一下，半责半嗔地勾了我一眼。这一眼，差点没让我喊：“魂兮归来!”,她小嘴撇了一下，半责半嗔地勾了我一眼。这一眼，差点让我喊：“魂兮归来!”
1,差点没,……”佟老师跳着脚，榨着那副女人似的嗓子叫着――嘴里那两颗金牙差点儿没掉下来。,……”佟老师跳着脚，榨着那副女人似的嗓子叫着――嘴里那两颗金牙差点儿掉下来。
0,几乎没,不像那几日，她孤身守在灵堂，他几乎没敢让她离开过自己视线，直到她住回坤宁宫。,不像那几日，她孤身守在灵堂，他几乎敢让她离开过自己视线，直到她住回坤宁宫。
0,不要太a,”“她有她的生长背景和苦难，你不要太严。”“我们犹太人难道不苦吗？,”“她有她的生长背景和苦难，你太严。”“我们犹太人难道不苦吗？
1,差点没,”元健差点没晕过去。,”元健差点晕过去。
0,不要太a,近年来由于燃气助动车增加较快，这方面的矛盾就比较突出了，燃气助动车的特点一是每次加气数量少，只有几元钱的生意，二是加气的频率高，车主一般都希望站点之间距离分布合理、不要太远。面对这些新的情况，有关部门正在考虑妥善的解决方案。,近年来由于燃气助动车增加较快，这方面的矛盾就比较突出了，燃气助动车的特点一是每次加气数量少，只有几元钱的生意，二是加气的频率高，车主一般都希望站点之间距离分布合理、太远。面对这些新的情况，有关部门正在考虑妥善的解决方案。
0,几乎没,萨拉几乎没听说过这事；她的思绪在另一条轨道上飞速奔驰着。,萨拉几乎听说过这事；她的思绪在另一条轨道上飞速奔驰着。
0,不要太a,龙飞正想询问细节，却被冰承祖的言语打断：“杰洛斯公子，您大病初愈，还是不要太劳累的比较好，先休息几天，过两天老朽在来和您祥谈。,龙飞正想询问细节，却被冰承祖的言语打断：“杰洛斯公子，您大病初愈，还是太劳累的比较好，先休息几天，过两天老朽在来和您祥谈。
0,不要太a,”金大帅道：“那好吧，你下手时不要太快了，也不要玩花活，头一刀可不要切在她脊背上。,”金大帅道：“那好吧，你下手时太快了，也不要玩花活，头一刀可不要切在她脊背上。
1,差点没,”她特别强调“小弟弟”三个字的发音，得意地差点没仰天长啸一番。,”她特别强调“小弟弟”三个字的发音，得意地差点仰天长啸一番。
0,不要太a,志华终于听出志国是在寻他开心，不由摇摇头，“不要太过分。”“Ｓｏｒｒｙ。,志华终于听出志国是在寻他开心，不由摇摇头，“太过分。”“Ｓｏｒｒｙ。
0,几乎没,阿荣坐在一旁一声不响地吃着饭，母亲和市子谈话时她几乎没说一句话。望着乖觉听话的阿荣，市子觉得她似乎变成了小孩子。,阿荣坐在一旁一声不响地吃着饭，母亲和市子谈话时她几乎说一句话。望着乖觉听话的阿荣，市子觉得她似乎变成了小孩子。
0,不要太a,纪叔是你的长辈，你不要太嚣张！”“我嚣张？,纪叔是你的长辈，你太嚣张！”“我嚣张？
0,不要太a,我劝你不要太积极，处处大公无私，结果是老婆也娶不上。,我劝你太积极，处处大公无私，结果是老婆也娶不上。
1,差点没,“凯撒”被这忽然的动作所激怒，差点没将他掀下来。,“凯撒”被这忽然的动作所激怒，差点将他掀下来。
1,看我不,看我不揍你！,看我揍你！
0,几乎没,”无钦轻叹了一口气，嘴角露出苦笑，心中却十分感慨，他小时命运悲惨，长大复仇之后又破人追杀，几乎没遇过一天好日子，闯出的尽是恶名，直到今日才算是有些扬眉吐气，他忍着心中激动，表面平静的对无乘大师道：“这是无钦份所当为……只要取一些木材焚烧，一个时辰后毒性尽去，可以重新比武。,”无钦轻叹了一口气，嘴角露出苦笑，心中却十分感慨，他小时命运悲惨，长大复仇之后又破人追杀，几乎遇过一天好日子，闯出的尽是恶名，直到今日才算是有些扬眉吐气，他忍着心中激动，表面平静的对无乘大师道：“这是无钦份所当为……只要取一些木材焚烧，一个时辰后毒性尽去，可以重新比武。
1,好不a,最近，关于客车价格的事情沸沸扬扬，好不热闹。但不论从什么角度看，承认也好，不认账也好，价格却是实实在在地打了起来。,最近，关于客车价格的事情沸沸扬扬，好热闹。但不论从什么角度看，承认也好，不认账也好，价格却是实实在在地打了起来。
1,好不a,因此，当我们名正言顺住进这占地面积20平方米的老式套房时，一家3代5口人乐得合不拢嘴，整天你进我出，欢声笑语，日子过得好不红火，好不舒心。但儿子和我总还觉得有点美中不足。,因此，当我们名正言顺住进这占地面积20平方米的老式套房时，一家3代5口人乐得合不拢嘴，整天你进我出，欢声笑语，日子过得好不红火，好舒心。但儿子和我总还觉得有点美中不足。
1,差点没,”铁狠风听到她的回答，头顶气得差点没冒烟。,”铁狠风听到她的回答，头顶气得差点冒烟。
0,不要太a,“还、还是不要太残忍的好。,“还、还是太残忍的好。
1,好不a,多次出差到福州，见火车站广场附近摊点上的水果很是鲜嫩，好不诱人；又听说“宰”客挺厉害的，只好作罢。,多次出差到福州，见火车站广场附近摊点上的水果很是鲜嫩，好诱人；又听说“宰”客挺厉害的，只好作罢。
1,就差没,”她来来回回地踱步、怒吼，就差没抡起金箍棒轰他出门。,”她来来回回地踱步、怒吼，就差抡起金箍棒轰他出门。
0,不要太a,用淘米水洗脸，头遍淘米水不要，留下清洁的二遍淘米水，加入一点温水，温度不要太高，淘米水里有维生素和淀粉；也可以在家里养一盆芦荟，每天切一点下来，榨出汁，把汁加入水中洗脸，或者直接把汁涂在痘痘上，芦荟有修复的作用；还有一招就是用牙膏，早晚涂一点点在痘痘上面，然后洗掉，牙膏可以刘女士之多拍脸法我读高中、大学时也长了很多青春痘，那个时候都不敢抬头见人，天天偷偷地照镜子，那个时候自尊心强，又特别爱美，外用内服的药吃了一大堆，钱花了不少，痘痘却是停,用淘米水洗脸，头遍淘米水不要，留下清洁的二遍淘米水，加入一点温水，温度太高，淘米水里有维生素和淀粉；也可以在家里养一盆芦荟，每天切一点下来，榨出汁，把汁加入水中洗脸，或者直接把汁涂在痘痘上，芦荟有修复的作用；还有一招就是用牙膏，早晚涂一点点在痘痘上面，然后洗掉，牙膏可以刘女士之多拍脸法我读高中、大学时也长了很多青春痘，那个时候都不敢抬头见人，天天偷偷地照镜子，那个时候自尊心强，又特别爱美，外用内服的药吃了一大堆，钱花了不少，痘痘却是停
1,差点没,种种手续办完，马老先生差点没晕过去；心里说，早知道这么麻烦，要命也不上外国来！,种种手续办完，马老先生差点晕过去；心里说，早知道这么麻烦，要命也不上外国来！
1,差点没,”政成差点没让鱼骨头噎着，“战死？,”政成差点让鱼骨头噎着，“战死？
1,好不a,我躺下时好不悲伤！我一次又一次想我在斯宾罗先生眼中的寒伧；想我不再会有向朵拉求婚时的自信；想我应当把我的经济状况从实告诉朵拉，如果她认为合适就可以解除这婚约；想我在长长的见习期间，无半分进项，如何度日；想做点什么帮助姨奶奶，却又想不出该做什么；想我穷到身无分文，衣衫我知道，这样多为自己想却很少为姨奶奶想正是我可鄙之处；不过，迄今自私已与朵拉分不开了，我不能因为任何人而把朵拉放在,我躺下时好悲伤！我一次又一次想我在斯宾罗先生眼中的寒伧；想我不再会有向朵拉求婚时的自信；想我应当把我的经济状况从实告诉朵拉，如果她认为合适就可以解除这婚约；想我在长长的见习期间，无半分进项，如何度日；想做点什么帮助姨奶奶，却又想不出该做什么；想我穷到身无分文，衣衫我知道，这样多为自己想却很少为姨奶奶想正是我可鄙之处；不过，迄今自私已与朵拉分不开了，我不能因为任何人而把朵拉放在
1,好不a,黛比看着她们一群好姊妹坐在壁炉前递着酒喝，又说又笑的好不开心。“我们轮流的教她几招对付男人的方法，我先开始。,黛比看着她们一群好姊妹坐在壁炉前递着酒喝，又说又笑的好开心。“我们轮流的教她几招对付男人的方法，我先开始。
1,差点没,不看犹可，一看到症结所在；一向冷颜旁罕笑的欧阳敏差点没笑岔了气。,不看犹可，一看到症结所在；一向冷颜旁罕笑的欧阳敏差点笑岔了气。
0,不要太a,他的体力已经不支，但他还是对我说：对这首诗的解释要宽一些，不要太窄。,他的体力已经不支，但他还是对我说：对这首诗的解释要宽一些，太窄。
1,好不a,结实的肌肉与宽阔的胸膛上，挂着许多细碎的牙印、指印和瘀青，好不壮观！小莫烧红了脸，被他嘲龙的语气羞得不自在地低下头，瞟着仅用被单蔽体的胸膛，想起昨夜的疯狂，心头猛跳。,结实的肌肉与宽阔的胸膛上，挂着许多细碎的牙印、指印和瘀青，好壮观！小莫烧红了脸，被他嘲龙的语气羞得不自在地低下头，瞟着仅用被单蔽体的胸膛，想起昨夜的疯狂，心头猛跳。
1,差点没,济民这一气非同小可，差点没送了半条命。,济民这一气非同小可，差点送了半条命。
0,差点没,白奕云看着他们的游泳教学，觉得和当初阎曜季教他游泳时真是有天壤之别，当时他和曜季才十几岁，曜季有一身好泳技，而他完全不会，曜季好心提议教他游泳，但那一天是他的恶梦，因为曜季完全是斯巴达教育，放他溺水自救，差点没命，但也真有效的让他一天内学会游泳。,白奕云看着他们的游泳教学，觉得和当初阎曜季教他游泳时真是有天壤之别，当时他和曜季才十几岁，曜季有一身好泳技，而他完全不会，曜季好心提议教他游泳，但那一天是他的恶梦，因为曜季完全是斯巴达教育，放他溺水自救，差点命，但也真有效的让他一天内学会游泳。
1,好不a,好几次云晁岳气急，硬是想霸王硬上弓跨上追日，下场总是摔个狗吃屎，好不狼狈。碰过几回钉子，云晁岳终于决定还是他的爱驹迎风可爱，至少迎风怎么也不可能将他摔下。,好几次云晁岳气急，硬是想霸王硬上弓跨上追日，下场总是摔个狗吃屎，好狼狈。碰过几回钉子，云晁岳终于决定还是他的爱驹迎风可爱，至少迎风怎么也不可能将他摔下。
1,难免不,看守所不是生活在真空里，难免不受社会的影响。,看守所不是生活在真空里，难免受社会的影响。
1,好不a,人家在其他姐妹还在热火朝天大干桑拿的时候，便用美色和心计缠上了一个有钱有势的大老板，借助他的钱势做起了自己的生意，越做越大，终于自己也成了名副其实的大老板，有房子有车，好不威风。周慧慧尚未寻觅到理想的靠山，却被蒲德威盯上了。,人家在其他姐妹还在热火朝天大干桑拿的时候，便用美色和心计缠上了一个有钱有势的大老板，借助他的钱势做起了自己的生意，越做越大，终于自己也成了名副其实的大老板，有房子有车，好威风。周慧慧尚未寻觅到理想的靠山，却被蒲德威盯上了。
1,好不a,“呵呵……”轻松的笑语好不快意地又飘了下来。,“呵呵……”轻松的笑语好快意地又飘了下来。
1,好不a,”凝若笑用力地拍拍她的肩，笑得好不灿烂。四姨娘马上加入她的计划，“那就快去尽你身为朋友的道义！,”凝若笑用力地拍拍她的肩，笑得好灿烂。四姨娘马上加入她的计划，“那就快去尽你身为朋友的道义！
1,差点没,试问马伯乐的心情到底为什么愉快呢？鼻子摔破了，差一点没有摔死，摔得昏迷不省，人事不知，到现在那鼻子还在肿着。,试问马伯乐的心情到底为什么愉快呢？鼻子摔破了，差一点摔死，摔得昏迷不省，人事不知，到现在那鼻子还在肿着。
0,不要太a,准备两本厚度相当的书（也不要太厚哦），双手各拿一本。,准备两本厚度相当的书（也太厚哦），双手各拿一本。
1,差点没,”上校差点没给他的话气死，这算哪门子安慰的话！,”上校差点给他的话气死，这算哪门子安慰的话！
1,好不a,这一扯让黄镇东好不心酸，他把这件事在各界领导参加的协调会上提起，说自己当时已经知道孩子的父母已不在人世，却没法对不谙世事的孩子出口解释此事。,这一扯让黄镇东好心酸，他把这件事在各界领导参加的协调会上提起，说自己当时已经知道孩子的父母已不在人世，却没法对不谙世事的孩子出口解释此事。
1,差点没,”谢瑜噘着嘴道：“莫前辈，您不知道静室中面壁是什么滋味，以前我犯了错也被关过，才三天就差点没把我逼疯了，现在要我禁闭六十年之久，那不是要我的命了。,”谢瑜噘着嘴道：“莫前辈，您不知道静室中面壁是什么滋味，以前我犯了错也被关过，才三天就差点把我逼疯了，现在要我禁闭六十年之久，那不是要我的命了。
0,不要太a,有人劝他不要太死心眼，并说像他这样下去，一个朋友也落不下。,有人劝他太死心眼，并说像他这样下去，一个朋友也落不下。
1,难免不,我们再晚片刻，便难免不为所伤了。,我们再晚片刻，便难免为所伤了。
1,好不a,柳逐风离开后，柳追云昂藏的身影立刻闪出电梯旁的巨大盆栽，若有所思的眼眸直盯住柳晏飞办公室的大门，好半晌，他突然咧开了嘴，笑得好不诡异。赖你爱我第五章,柳逐风离开后，柳追云昂藏的身影立刻闪出电梯旁的巨大盆栽，若有所思的眼眸直盯住柳晏飞办公室的大门，好半晌，他突然咧开了嘴，笑得好诡异。赖你爱我第五章
1,差点没,”差一点没把狗子分了尸。,”差一点把狗子分了尸。
0,不要太a,“来歇歇，不要太努力，空气硬，海水硬！,“来歇歇，太努力，空气硬，海水硬！
1,好不a,"眼见意中人和别的女孩同撑一把伞子,有讲有笑的,好不温馨,而自己呢?个人撑著伞在人家的门口外呆站著.刹那间,整个人就像入定般,脸上毫无表情,心中只感到溜溜的,眼睛亦开始湿润了。","眼见意中人和别的女孩同撑一把伞子,有讲有笑的,好温馨,而自己呢?个人撑著伞在人家的门口外呆站著.刹那间,整个人就像入定般,脸上毫无表情,心中只感到溜溜的,眼睛亦开始湿润了。"
1,好不a,可在这时，她突然发现以前那些远不如自己的姐妹们早都阔了：比如“兰姐”，穿金戴银拿手，好不气派；还有“妹”，别看年龄小，也有了传呼机，据说不算穿衣，每月光吃喝消费就要花一二千元。,可在这时，她突然发现以前那些远不如自己的姐妹们早都阔了：比如“兰姐”，穿金戴银拿手，好气派；还有“妹”，别看年龄小，也有了传呼机，据说不算穿衣，每月光吃喝消费就要花一二千元。
0,不要太a,"_女人四十巧穿衣春雨<正>40多岁的女人已经有了些沧桑,岁月已将肉不客气地在肚子、手臂及臀部周围,但干万不要太悲观,巧妙穿衣会让自己亮丽起来。","_女人四十巧穿衣春雨<正>40多岁的女人已经有了些沧桑,岁月已将肉不客气地在肚子、手臂及臀部周围,但干万太悲观,巧妙穿衣会让自己亮丽起来。"
0,几乎没,"黄埔港口的退休工人张新如一辈子几乎没在剧场看过文艺演出,上周他去看了一场大型杂技晚会《金木水火土》。","黄埔港口的退休工人张新如一辈子几乎在剧场看过文艺演出,上周他去看了一场大型杂技晚会《金木水火土》。"
1,差点没,石蝶衣气嘟嘟地推开他的手，头顶气得差点没喷出白烟。,石蝶衣气嘟嘟地推开他的手，头顶气得差点喷出白烟。
1,几乎没,花有几朵，人就有多少个，几乎没挤死我们一家子人。,花有几朵，人就有多少个，几乎挤死我们一家子人。
1,险些没,我神情沮丧，险些没有哭出来。,我神情沮丧，险些有哭出来。
0,不要太a,聂王妃叹气说：＂风儿，你不要太冲动，我们要好好调查这姑娘的来处和意图。,聂王妃叹气说：＂风儿，你太冲动，我们要好好调查这姑娘的来处和意图。
1,好不a,新建的悦宾楼前，一溜十余个摊位前，人头攒动，好不热闹。挤到近前，方见各摊位上民间艺人各显其能，剪纸剪影，吹画指画，石壶石刻，龙凤书法，捏面人，棕编等等。,新建的悦宾楼前，一溜十余个摊位前，人头攒动，好热闹。挤到近前，方见各摊位上民间艺人各显其能，剪纸剪影，吹画指画，石壶石刻，龙凤书法，捏面人，棕编等等。
1,好不a,她的这一举动向我暗示了阿尔贝蒂娜再也不可能到来，我也不得不承认，确实是为了她，我才希望把自己修饰得漂亮潇洒一点，弗朗索瓦丝这一伸手，惹得我好不气恼，我一抽身，把花整个儿给弄皱了，加上她又对我说“最好还是让我取下来，免得这样碰坏了”，我更是火上加火。,她的这一举动向我暗示了阿尔贝蒂娜再也不可能到来，我也不得不承认，确实是为了她，我才希望把自己修饰得漂亮潇洒一点，弗朗索瓦丝这一伸手，惹得我好气恼，我一抽身，把花整个儿给弄皱了，加上她又对我说“最好还是让我取下来，免得这样碰坏了”，我更是火上加火。
1,好不a,我们社会就好像一幅毕加索先生的调颜料板，五光十色，好不可爱。洋大人见之，伸大拇指曰：「进步进步。,我们社会就好像一幅毕加索先生的调颜料板，五光十色，好可爱。洋大人见之，伸大拇指曰：「进步进步。
0,几乎没,全场几乎没有空座位，连楼梯也全部坐满，门口还站了很多同学，整个报告厅水泄不通。,全场几乎有空座位，连楼梯也全部坐满，门口还站了很多同学，整个报告厅水泄不通。
0,几乎没,"王皓出线几乎没遇到什么阻碍,只是在对阵朝鲜的正经哲的比赛中略见险情。","王皓出线几乎遇到什么阻碍,只是在对阵朝鲜的正经哲的比赛中略见险情。"
0,不要太a,当然，患者上医院期间不要太大意，特别是普通感冒去医院就诊最好戴上12层以上棉纱口罩或活性炭口罩，在三四个小时后就应换掉，回家之后则要立刻洗手。,当然，患者上医院期间太大意，特别是普通感冒去医院就诊最好戴上12层以上棉纱口罩或活性炭口罩，在三四个小时后就应换掉，回家之后则要立刻洗手。
0,不要太a,但我警告侄女不要太认真，因为这只能招来更头痛的事。,但我警告侄女太认真，因为这只能招来更头痛的事。
1,难免不,没有理由责怪消费者对出过假酒、毒酒的地方出产的酒抱有警惕，即使那个地方的名酒，也难免不受牵累。,没有理由责怪消费者对出过假酒、毒酒的地方出产的酒抱有警惕，即使那个地方的名酒，也难免受牵累。
0,不要太a,有一次他像是对自己也像是对我们说，不要太急了。,有一次他像是对自己也像是对我们说，太急了。
1,就差没,到第三年挂锄的时候，盖好三间小草房，[就差没]盘炕，没安门窗了,到第三年挂锄的时候，盖好三间小草房，[就差没]盘炕，没安门窗了
0,不要太a,你想着，我们相见不能太早，也不要太迟。,你想着，我们相见不能太早，也太迟。
0,几乎没,再后来，我认识了很多人，有了很多朋友，那次聚会在我脑海里几乎没留下什么痕迹。,再后来，我认识了很多人，有了很多朋友，那次聚会在我脑海里几乎留下什么痕迹。
1,好不a,到了半夜，他们走出房屋，看见木箱果然还在，也不问这里面有没有东西，抬了就走，只觉得这木箱好不沉重，等来到自己家里，就把箱子在他们两个老婆的房中随便一放，独自睡去了。,到了半夜，他们走出房屋，看见木箱果然还在，也不问这里面有没有东西，抬了就走，只觉得这木箱好沉重，等来到自己家里，就把箱子在他们两个老婆的房中随便一放，独自睡去了。
0,不要太a,”丽莉哭得倒在宁三怀里，宁三搂着她，轻轻地说：“丽莉姐，不要太难过，他会知道的！,”丽莉哭得倒在宁三怀里，宁三搂着她，轻轻地说：“丽莉姐，太难过，他会知道的！
0,不要太a,他坚信是金子自然会闪光的，况且他的自身条件不错，只要对方的身高不要太高挑就是了。,他坚信是金子自然会闪光的，况且他的自身条件不错，只要对方的身高太高挑就是了。
